country,serie,2018,2015,2014,2017,2016,2011,2010,2013,2012,1991,1990,1993,1992,1995,1994,1997,1996,1999,1998,2002,2003,2000,2001,2006,2007,2004,2005,2008,2009
Moldova,Territorial Emissions,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,21.984,29.312,14.656,21.984,10.992,10.992,7.328,10.992,3.664,7.328,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664
Qatar,Territorial Emissions,106.256,106.256,106.256,109.92,102.592,80.608,73.28,84.272,91.6,18.32,10.992,29.312,25.648,32.976,29.312,36.64,32.976,32.976,32.976,40.304,40.304,32.976,40.304,62.288,62.288,43.968,51.296,65.952,69.616
Barbados,Territorial Emissions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iran,Territorial Emissions,721.808,641.2,641.2,685.168,652.192,578.912,564.256,608.224,600.896,227.168,208.848,234.496,227.168,271.136,263.808,267.472,274.8,381.056,307.776,399.376,414.032,370.064,395.712,501.968,512.96,443.344,465.328,534.944,545.936
Madagascar,Territorial Emissions,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.664,0.0,0.0,0.0,0.0,0.0,3.664,0.0
Liberia,Territorial Emissions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Finland,Territorial Emissions,47.632,43.968,47.632,43.968,47.632,54.96,62.288,51.296,51.296,54.96,58.624,54.96,54.96,58.624,62.288,62.288,62.288,58.624,58.624,65.952,73.28,58.624,62.288,69.616,65.952,69.616,58.624,58.624,54.96
Chile,Territorial Emissions,84.272,80.608,76.944,84.272,84.272,76.944,69.616,80.608,80.608,29.312,32.976,32.976,32.976,40.304,36.64,54.96,47.632,62.288,58.624,54.96,54.96,58.624,51.296,62.288,69.616,58.624,62.288,69.616,65.952
Guinea,Territorial Emissions,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.664,3.664,0.0,0.0,3.664,3.664
Maldives,Territorial Emissions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,Territorial Emissions,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,7.328,3.664,3.664,3.664,3.664,0.0,3.664,3.664,0.0,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664
Oman,Territorial Emissions,65.952,65.952,58.624,62.288,62.288,54.96,47.632,62.288,58.624,10.992,10.992,14.656,10.992,14.656,14.656,14.656,14.656,21.984,14.656,25.648,32.976,21.984,18.32,40.304,43.968,29.312,29.312,40.304,40.304
Slovenia,Territorial Emissions,14.656,14.656,14.656,14.656,14.656,14.656,14.656,14.656,14.656,14.656,14.656,14.656,14.656,14.656,14.656,14.656,14.656,14.656,14.656,18.32,14.656,14.656,14.656,18.32,18.32,18.32,18.32,18.32,14.656
Poland,Territorial Emissions,344.416,311.44,307.776,337.088,322.432,333.424,333.424,322.432,326.096,373.728,377.392,366.4,366.4,362.736,359.072,366.4,377.392,329.76,337.088,307.776,318.768,318.768,315.104,337.088,337.088,322.432,322.432,329.76,315.104
Armenia,Territorial Emissions,7.328,3.664,7.328,3.664,3.664,3.664,3.664,7.328,7.328,18.32,18.32,3.664,7.328,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,7.328,3.664
